日付,始値,高値,安値,終値,売買高,修正後終値
6/10（水）,1056,1082,1043,1068,312100,1068.0
6/11（木）,1068,1098,1037,1043,471500,1043.0
6/12（金）,992,1010,948,999,854500,999.0
6/15（月）,1010,1015,915,915,659600,915.0
6/16（火）,954,1005,952,995,459200,995.0
6/17（水）,1006,1026,993,1010,297700,1010.0
6/18（木）,999,1015,978,1010,334900,1010.0
6/19（金）,1015,1082,1010,1081,649300,1081.0
6/22（月）,1075,1106,1054,1070,373500,1070.0
6/23（火）,1100,1116,1051,1090,494300,1090.0
6/24（水）,1083,1132,1073,1129,423700,1129.0
6/25（木）,1105,1124,1071,1072,360500,1072.0
6/26（金）,1078,1079,1028,1053,337500,1053.0
6/29（月）,1032,1059,1016,1024,240500,1024.0
6/30（火）,1047,1061,1000,1031,289200,1031.0
7/1（水）,1023,1077,1023,1043,272100,1043.0
7/2（木）,1052,1069,984,990,421000,990.0
7/3（金）,990,1039,990,1039,286000,1039.0
7/6（月）,1061,1074,1043,1064,295200,1064.0
7/7（火）,1070,1104,1061,1103,379100,1103.0
7/8（水）,1103,1114,1064,1110,299300,1110.0
7/9（木）,1120,1130,1069,1074,313300,1074.0
7/10（金）,1080,1101,1051,1051,252300,1051.0
7/13（月）,1085,1124,1074,1124,427400,1124.0
7/14（火）,1116,1122,1031,1065,712600,1065.0
